Carbon Neutral Operation
Cascading Style Sheets
Central Processing Unit
Cross Platform Distribution
Decentralized Autonomous Organization
First Person Shooter
Frames Per Second
Gaslight Gatekeep Girlboss
Generative Adversarial Network
Generative Pre-trained Transformer
Graphics Processing Unit
Head Mounted Display
Hypertext Text Markup Language
Internet of Things
Live Laugh Love
Mixed Reality Protocol
Natural Language Processing
Non Fungible Tokens
Open Source Development
Partner in Crime
Proof of Concept
Proof of Stake
Proof of Work
Recurrent Neural Network
Role Playing Game
Secure Hash Algorithm
Subject Matter Expert
Three Letter Acronym
Web3 Decentralized Trustless System
